aspect,summary,sentiment,menu,restaurant,restaurant_location
Taste & Flavor,The sushi is delicious with a good variety of menu options.,Positive,sushi,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-slipi
Portion Size,The portions are perfectly sized.,Positive,sushi,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-slipi
Taste & Flavor,"The sauce is tasty and bold with good consistency, and the chicken is extremely delicious and crispy.",Positive,Salted Egg Chicken,The People's Cafe,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-setiabudi
Texture,"The chicken is extremely crispy, the rice is very fluffy, and the koja leaves add texture.",Positive,Salted Egg Chicken,The People's Cafe,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-setiabudi
Cooking Quality,The soft-boiled egg is well-cooked and seasoned properly.,Positive,Salted Egg Chicken,The People's Cafe,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-setiabudi
Overall Impression,The dish is excellent.,Positive,Salted Egg Chicken,The People's Cafe,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-setiabudi
Taste & Flavor,The nasi set has juicy meat and a satisfying flavor.,Positive,nasi set,Pizza e Birra,https://pergikuliner.com/restaurants/bandung/pizza-e-birra-sukajadi
Portion Size,The portion is satisfying and well-sized.,Positive,nasi set,Pizza e Birra,https://pergikuliner.com/restaurants/bandung/pizza-e-birra-sukajadi
Toppings,The pizza has minimal toppings and does not meet the expectation of being a 'non-jolong' (non-ordinary) pizza.,Negative,pizza,Pizza e Birra,https://pergikuliner.com/restaurants/bandung/pizza-e-birra-sukajadi
Taste & Flavor,The taste was good and delicious with a good flavor.,Positive,chicken salted egg,The People's Cafe,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-slipi-2
Meat Size,The meat is large and unique as it comes with a fried egg.,Positive,chicken salted egg,The People's Cafe,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-slipi-2
Taste & Flavor,The fried egg is slightly salty but still enjoyable when served with rice.,Neutral,fried egg,The People's Cafe,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-slipi-2
Taste & Flavor,Delicious sushi rice and salmon aburi provide a rich and satisfying flavor.,Positive,Salmon Aburi Taco Sushi,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-setiabudi
Texture,"Crispy nori and the crunch when bitten make a cracking sound, adding to the experience.",Positive,Salmon Aburi Taco Sushi,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-setiabudi
Portion Size,"The taco is large and satisfying, indicating a generous portion.",Positive,Salmon Aburi Taco Sushi,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-setiabudi
Taste & Flavor,Offers a good taste but is less preferred compared to the Salmon Aburi version.,Negative,Tempura Taco Sushi,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-setiabudi
Texture,"Crispy nori, fried tempura, and red cabbage with mayo and chili sauce provide a balanced texture.",Neutral,Tempura Taco Sushi,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-setiabudi
Taste & Flavor,"The chicken is crispy on the outside and juicy inside, with all components being delicious.",Positive,Chicken Teriyaki Teishoku,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-setiabudi
Portion Size,"Includes crispy chicken teriyaki, fluffy rice, salad, miso soup, and Japanese pickles, suggesting a well-rounded and complete meal.",Positive,Chicken Teriyaki Teishoku,Sushi Groove,https://pergikuliner.com/restaurants/jakarta/sushi-groove-setiabudi
