restaurant_review,restaurant_name,review_source
"Sejujurnya menikmati sushi melalui jasa pesan antar menurut saya tidak begitu preferable, karena experience-nya tentu saja berbeda. Tapi berhubung Bandung sedang sering-seringnya hujan dan Ismaya Group sedang senang mengadakan promo besar-besaran, maka memesan dengan jasa pesan adalah jalan ninja saya. Sayangnya, Ismaya Group sepertinya tidak menjalin kerja sama dengan jasa pesan antar yang saya gunakan karena ongkos kirimnya yang sedikit lebih mahal ketimbang restoran-restoran lain di Paris Van Java.Foods:- Gyu Tamago Don (59K)Rice bowl khas Jepang ini menurut saya lumayan bisa untuk mengobati perut yang keroncongan karena basically menu ini adalah nasi dalam porsi yang besar--a big point that makes most Indonesian will love it. Nasi tersebut disajikan bersama telur dan daging sapi yang empuk lengkap dengan saus hitam campuran antara kaldu dan soy sauce. Tak lupa ditambakan kremesan khas Jepang serta nor yang berhasil menambah crunchiness pada setiap suapan. Personally saya sangat suka menu ini, apalagi kalau porsi daging sapinya lebih banyak.- California Roll (48K)Sushi roll dengan isian kani, alpukat, dan timun ini menurut saya juga tidak kalah nikmat. Saya sangat suka kulit roll-nya yang ditaburi dengan tobiko yang sangat generous. Citarasa sushi roll-nya menurut saya akan lebih nikmat kalau citarasa alpukatnya sedikit lebih intens. But overall its good.",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
"First time cobain groove dan ternyata enak semuaa! Aku seneng sama groove karena beberapa menunya bisa pilih yang half portion so it means that kita bisa cobain banyak menu yang bervariasi gitu looh. Karena aku pecinta salmon, aku coba menu yang Salmon Lover nya dan memang salmonnya segarr plus potongannya cukup tebal gak tipis kecil gitu loh. Ohiya kalian harus coba menu Rock&Roll juga jadi ini mozarela dilapisi daging gitu dan ini enakkk bgt even udah gak hangat dan mozarella nya udah gak melted, tetep enak. Sushi groove jadi fav brand sushi ku skrg",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
"Salah satu tempat sushi yang si saya suka. Tapi si saya pengen nyoba juga yang selain sushinya terus kabita si gyu tamago don. Rasa dagingnya enak lembut gurih manis khas jepang gitu, telornya juga ga overcooked masih lembut gitu di mulut. Pecah pisan pokonamah rasanya. Favorit si kami juga ini submarine roll. Isinya salmon skin jadi enak lah luarnya creamy isinya crunchy. Enak pisan semuanya. Tuna nigirinya juga si tunanya fresh pisan.",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
"Akhirnya disini ada promo all you can eat.. tp sayang cuma ada 2 minggu aja.. untung kburu ksni eheheMenu yg si jadiin all you can eat gak semua menu, cuma ada bbrp pilihan sushi roll, nigiri, dan appetizer kaya chicken karage, salmon skin, edamame, chuka wakame oiya dan ada dessert jg, dorayaki isi kacang merah..Semua ikan nya fresh, selain salmon nigiri aku jg pesan mayo dream roll enak creamy tp ada after taste asin gt.. ebi mentaiko nigiri nya jg enak, udang nya fresh. Tp tetep favorite ku submarine roll soalnya tengahnya crunchy tp luar nya creamy. Aku jg pesan chuka wakame, porsinya gak terlalu banyak..Dorayaki nya jg enak, adonan nya fluffy dan isian kacang merah nya enak manis nya pass..Pokonya puas deh..",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
Sushi nya enak ada crab sticknya juga tapi untuk ayam nya agak keras sih jadi pegel dimakannya.. diatasnya ditaburi daun bawang hehe ga begitu suka sih daun bawang tapi bisa disingkirkan dan ada irisan cabai juga jadi ada pedes2nya.,Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
"salah satu tempat favorit untuk makan sushi di bandung selain karena tempatnya nyaman makanan yg disajiin juga freshkarena aku ga terlalu into salmon jadi aku biasanya kalo ke sini pasti pesan golden gate karena kombinasinya itu pas dan tuna nya tetep berasatapi kali ini aku nyoba shinjuku roll dan ternyata enak banget loh crispy salmon skinnya kriuk kriuk dan salmonnya juga tebal selain itu aku pesan tuna flame roll karena di sini katanya itu yg paling laku, tapi jujur aja aku lebih milih shinjuku rollnya. untuk tuna flame roll itu dia salmonnya matang dan tengahnya ada katak kriuk-kriuk gitu ini bisa jadi alternatif buat yg ga suka sushi mentah sihuntuk salmon mentainya sih menurutku cukup oke tapi besar banget jadi gabisa sekali hap heueheuhevarian nigiri nya juga segar-segar si ikan ikan dan oktopusnya",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
sekarang tempatnya nyaris bergabung sama e birra cuma dibatasin partisi kayu doang.Menu nya jg beberapa ada yg hilang. Nigiri dijual persatuan.Potongan tunanya tebal tebal dan juga fresh.Flame rollnya itu menu favorit aku di sini karena ada kriuk kriuk dibagian tengahnya dan salmonnya tuh ga anyirGunkannya tuh overpowered sm mayonya but still good,Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
"Tempat'a si g luas, dg tempat duduk yg menjajar gitu jd satu. Tapi ambience'a bikin betah, adem & cozy buat nongkrong.Nyobain gobo sushi yg Kikai Roll, unagi roll w/ crispy salmon skin & chili slices.. Ukuran'a kecil dg harga yg terbilang mahal, tapi dari segi rasa worth to try jg si, cita rasa & bumbu'a juara! Mochi Ice Cream Chocolate'a adem & seger, tapi sayang'a terlalu kaku. Tokyo Storm'a paling suka, manis'a pas & delightfully fresh banget..",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
"Pesen zaru soba karna pernah nyobain cha soba punya temen dan enak, jd penasaran deh disini rasanya kaya apa. Harganya sekitar 40an kurang lebih. Begitu dtg langsung saya santaaap, duh ini gmn ya gambarin nya, enaaaak deh pokoknya tekstur mie nya kenyal, dingin2 enak gituuu dan kuah celupan nya juara, ah pokoknya saya suka deeeh, pengen lagi ga cukup seporsi huhuhu.",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
"Suasananya mirip2 sama yg d jkt. Nuansa ijo remang2 gt.Pesenan saya:1. Fire island rollIni isinya spicy unagi atasnya torched beef. Ukuran sushi lebih kecil dr yg lain. Seporsi isi 8. Agak pedas tapi kurang juicy2. Salmon mentai rollSeporsi isi 4. Ukuran sushi lebih besar dr yg lain. Isinya fresh salmon, onion & ketimun. Atasnya torched mentaiko mayo. Cukup enak but not my fav3. Unamon rollIni fav saya. Isinya crab tempura atasnya salmon & unagi. Enakk",Sushi Groove,https://pergikuliner.com/restaurants/bandung/sushi-groove-sukajadi
